"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Opac url","Finding Aid URL","Archival Collection Title","Archival Collection Number","Box","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Coverage.geographic","Subject","Rights.countryCreation","Rights.rightsHolderContact","Name.photographer","Name.creator","Repository","Relation.isPartOf","Title","Format.extent","Date.created","Date.normalized","Description.note","Alt ID.local","Format.dimensions","Inscription","Description.caption","Publisher.publisherName","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090nzq","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090nzq-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606543","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","11","still image","unknown","Postcards","Los Angeles (Calif.)","City & town life--California--Los Angeles","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4649","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Pacific Electric Depot, Los Angeles, Cal.","1 postcard","unknown","","No sender's message.|~|VanOrnum Colorprint Co. Los Angeles, Cal.  686","clus_1351_b11_fbuildings_2","14 x 9 cm. (5.5 x 3.5 in.)","","","VanOrnum Colorprint Co.","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090nzq","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090nzq/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090p0q","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090p0q-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606544","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","11","still image","unknown","Cityscape photographs|~|photographic postcards","Los Angeles (Calif.)","City & town life--California--Los Angeles","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4648","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Hill St. North from 6th. Los Angeles, Calif.","1 photographic postcard","unknown","","No sender's message.","clus_1351_b11_fdowntown_1","14 x 9 cm. (5.5 x 3.5 in.)","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090p0q","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090p0q/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz00090p17","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz00090p17-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606545","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","14","still image","unknown","Postcards","","California poppy","US","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4647","","Mitchell,  Edw. H.","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","1985 - The California Poppy","1 postcard","unknown","","Made in America by Edw. h. Mitchell at San Francisco, California.|~|No sender's message.","clus_1351_b14_poppies_1","14 x 9 cm. (5.5 x 3.5 in.)","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00090p17","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00090p17/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz000s3qk4","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz000s3qk4-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606546","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","13","still image","unknown","Postcards","","Missions, Spanish--California|~|Postcards--California","","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4646","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Baptism of the First Gentile","1 postcard","","","","","3.5 x 5.5 in.","","Act I Mission Play, San Gabriel, California","Detroit Publishing Company","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3qk4","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3qk4/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz000s3r9g","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz000s3r9g-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606547","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","13","still image","unknown","Postcards","","Missions, Spanish--California|~|Postcards--California","","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4645","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Excommunication of Comandante Rivera by Father Junipero Serra","1 postcard","","","","","3.5 x 5.5 in.","","Act 2 Mission Play, San Gabriel, California","Detroit Publishing Company","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3r9g","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3r9g/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz000s3rb0","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz000s3rb0-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606548","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","13","still image","unknown","Postcards|~|photographic postcards","","Missions, Spanish--California|~|Postcards--California","","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4644","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","No. 491, San Gabriel Mission Steps.","1 postcard","","","Photo postcard image of two young boys sitting on steps of San Gabriel Mission building.","","3.5 x 5.5 in.","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3rb0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3rb0/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz000s3rch","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz000s3rch-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606549","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","13","still image","unknown","Postcards","","Missions, Spanish--California|~|Postcards--California","","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4643","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Pageant of the Indian Crafts","1 postcard","","","","","3.5 x 5.5 in.","","Act 2 Mission Play, San Gabriel, California","Detroit Publishing Company","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3rch","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3rch/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz000s3rd1","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz000s3rd1-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606550","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","14","still image","unknown","Postcards","","Postcards--California","","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4642","Davis, Stan","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","The Old Plank Road on Arizona-California Highway 80","1 postcard","","","Color photograph of wooden highway and desert scene with telephone pole and mountains in the background.","","3.5 x 5.5 in.","","Decaying in the torrid sun and shifting sands, the old plank single-lane road still remains as a reminder of early day automotive travel problems through the desert sands.","Bob Petley, Phoenix, Arizona","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3rd1","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3rd1/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz000s3rfj","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz000s3rfj-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606551","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","15","still image","unknown","photographic postcards","","Postcards--California","","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4641","","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Hell's Kitchen. Mullet Isd. Salton Sea","1 postcard","","","Photo postcard image of men sitting on benches outside of a metal-roofed shack. The shades on the outside of the structure are decorated with images of fish and birds.|~|According to Laflin, P., The Salton Sea: California's overlooked treasure. (The Periscope, Coachella Valley Historical Society, Indio, California. 1995) the structure is the Hell's Kitchen Cafe, Dance Hall and Boat Landing.","","3.5 x 5.5 in.","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3rfj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3rfj/manifest"
"Calif. Postcards Collection.  Collection 1351","ark:/21198/zz000s3rj3","ark:/21198/zz0008hs73","2","Completed","Work","Masters/dlmasters/postcards/masters/21198-zz000s3rj3-1-master.tif","","https://search.library.ucla.edu/permalink/01UCS_LAL/17p22dp/alma9942327163606552","http://oac.cdlib.org/findaid/ark:/13030/tf8v19p2bb","Collection of California Postcards","Collection 1351","17","still image","unknown","photographic postcards","","Postcards--California","","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: AskLSC@library.ucla.edu. Phone: (310) 825-4640","Moore, Dewey","","University of California, Los Angeles. Library. Department of Special Collections","California Postcards Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Thermal, Calif.","1 postcard","","","Photographic postcard image of store or market with sign ""Valerie Jean,"" showing a woman standing next to large baskets of fruit or vegetables.","","3.5 x 5.5 in.","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3rj3","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s3rj3/manifest"
